t,px,py,pz,qw,qx,qy,qz,alt,tilt,yawrate,yawcmd,alt_est,tilt_est,m0,m1,m2,m3
0.8200,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
0.8400,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
0.8600,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
0.8800,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
0.9000,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
0.9200,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
0.9400,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
0.9600,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
0.9800,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.0000,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.0200,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.0400,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.0600,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.0800,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.1000,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.1200,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.1400,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.1600,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.1800,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.2000,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.2200,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.2400,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.2600,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.2800,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.3000,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.3200,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.3400,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.3600,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.3800,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.4000,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.4200,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.4400,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.4600,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.4800,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,0.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.5000,0.00000,-0.00000,0.50000,1.000000,0.000000,0.000000,-0.000000,0.5000,0.000,0.0000,1.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
1.5200,0.00000,-0.00000,0.49999,0.999999,0.000000,0.000000,-0.001325,0.5000,0.020,0.2363,1.0000,0.0005,0.000,0.6811,0.6216,0.6811,0.6216
1.5400,0.00000,-0.00000,0.49997,0.999986,0.000000,0.000000,-0.005351,0.5000,0.000,0.4965,1.0000,0.0008,0.000,0.6702,0.6329,0.6702,0.6329
1.5600,0.00000,-0.00000,0.49994,0.999933,0.000000,0.000000,-0.011601,0.4999,0.000,0.6939,1.0000,0.0009,0.000,0.6625,0.6407,0.6625,0.6407
1.5800,0.00000,-0.00000,0.49992,0.999812,0.000000,0.000000,-0.019408,0.4999,0.000,0.8260,1.0000,0.0009,0.000,0.6577,0.6457,0.6577,0.6457
1.6000,0.00000,-0.00000,0.49989,0.999602,0.000000,0.000000,-0.028206,0.4999,0.000,0.9074,1.0000,0.0009,0.000,0.6548,0.6486,0.6548,0.6486
1.6200,0.00000,-0.00000,0.49986,0.999293,0.000000,0.000000,-0.037588,0.4999,0.000,0.9543,1.0000,0.0009,0.000,0.6532,0.6502,0.6532,0.6502
1.6400,0.00000,-0.00000,0.49983,0.998881,0.000000,0.000000,-0.047293,0.4998,0.000,0.9798,1.0000,0.0009,0.000,0.6523,0.6510,0.6523,0.6510
1.6600,0.00000,-0.00000,0.49981,0.998365,0.000000,0.000000,-0.057166,0.4998,0.000,0.9929,1.0000,0.0009,0.000,0.6519,0.6514,0.6519,0.6514
1.6800,0.00000,-0.00000,0.49978,0.997745,0.000000,0.000000,-0.067118,0.4998,0.000,0.9991,1.0000,0.0009,0.000,0.6518,0.6516,0.6518,0.6516
1.7000,0.00000,-0.00000,0.49975,0.997023,0.000000,0.000000,-0.077101,0.4998,0.000,1.0017,1.0000,0.0009,0.000,0.6517,0.6517,0.6517,0.6517
1.7200,0.00000,-0.00000,0.49972,0.996200,0.000000,0.000000,-0.087091,0.4997,0.000,1.0027,1.0000,0.0009,0.000,0.6517,0.6517,0.6517,0.6517
1.7400,0.00000,-0.00000,0.49969,0.995277,0.000000,0.000000,-0.097078,0.4997,0.000,1.0030,1.0000,0.0008,0.000,0.6517,0.6517,0.6517,0.6517
1.7600,0.00000,-0.00000,0.49966,0.994253,0.000000,0.000000,-0.107055,0.4997,0.000,1.0029,1.0000,0.0008,0.000,0.6517,0.6517,0.6517,0.6517
1.7800,0.00000,-0.00000,0.49964,0.993130,0.000000,0.000000,-0.117020,0.4996,0.000,1.0028,1.0000,0.0008,0.000,0.6517,0.6517,0.6517,0.6517
1.8000,0.00000,-0.00000,0.49961,0.991906,0.000000,0.000000,-0.126972,0.4996,0.000,1.0027,1.0000,0.0008,0.000,0.6517,0.6517,0.6517,0.6517
1.8200,0.00000,-0.00000,0.49958,0.990583,0.000000,0.000000,-0.136911,0.4996,0.000,1.0026,1.0000,0.0008,0.000,0.6517,0.6517,0.6517,0.6517
1.8400,0.00000,-0.00000,0.49955,0.989161,0.000000,0.000000,-0.146835,0.4996,0.000,1.0025,1.0000,0.0008,0.000,0.6517,0.6517,0.6517,0.6517
1.8600,0.00000,-0.00000,0.49952,0.987639,0.000000,0.000000,-0.156744,0.4995,0.000,1.0025,1.0000,0.0007,0.000,0.6517,0.6517,0.6517,0.6517
1.8800,0.00000,-0.00000,0.49950,0.986018,0.000000,0.000000,-0.166637,0.4995,0.000,1.0025,1.0000,0.0007,0.000,0.6517,0.6517,0.6517,0.6517
1.9000,0.00000,-0.00000,0.49947,0.984298,0.000000,0.000000,-0.176513,0.4995,0.000,1.0025,1.0000,0.0007,0.000,0.6517,0.6517,0.6517,0.6517
1.9200,0.00000,-0.00000,0.49944,0.982479,0.000000,0.000000,-0.186371,0.4994,0.000,1.0025,1.0000,0.0007,0.000,0.6517,0.6517,0.6517,0.6517
1.9400,0.00000,-0.00000,0.49941,0.980562,0.000000,0.000000,-0.196210,0.4994,0.000,1.0024,1.0000,0.0007,0.000,0.6517,0.6517,0.6517,0.6517
1.9600,0.00000,-0.00000,0.49938,0.978546,0.000000,0.000000,-0.206030,0.4994,0.020,1.0024,1.0000,0.0007,0.000,0.6517,0.6517,0.6517,0.6517
1.9800,0.00000,-0.00000,0.49935,0.976431,0.000000,0.000000,-0.215828,0.4994,0.000,1.0024,1.0000,0.0007,0.000,0.6517,0.6517,0.6517,0.6517
2.0000,0.00000,-0.00000,0.49933,0.974219,0.000000,0.000000,-0.225606,0.4993,0.000,1.0024,1.0000,0.0006,0.000,0.6517,0.6517,0.6517,0.6517
2.0200,0.00000,-0.00000,0.49930,0.971908,0.000000,0.000000,-0.235360,0.4993,0.000,1.0024,1.0000,0.0006,0.000,0.6517,0.6517,0.6517,0.6517
2.0400,0.00000,-0.00000,0.49927,0.969500,0.000000,0.000000,-0.245091,0.4993,0.000,1.0024,1.0000,0.0006,0.020,0.6517,0.6517,0.6517,0.6517
2.0600,0.00000,-0.00000,0.49924,0.966995,0.000000,0.000000,-0.254797,0.4992,0.000,1.0024,1.0000,0.0006,0.000,0.6517,0.6517,0.6517,0.6517
2.0800,0.00000,-0.00000,0.49921,0.964392,0.000000,0.000000,-0.264477,0.4992,0.000,1.0024,1.0000,0.0006,0.000,0.6517,0.6517,0.6517,0.6517
2.1000,0.00000,-0.00000,0.49919,0.961692,0.000000,0.000000,-0.274131,0.4992,0.000,1.0024,1.0000,0.0006,0.000,0.6517,0.6517,0.6517,0.6517
2.1200,0.00000,-0.00000,0.49916,0.958896,0.000000,0.000000,-0.283757,0.4992,0.000,1.0024,1.0000,0.0006,0.000,0.6517,0.6517,0.6517,0.6517
2.1400,0.00000,-0.00000,0.49913,0.956004,0.000000,0.000000,-0.293355,0.4991,0.000,1.0024,1.0000,0.0005,0.000,0.6517,0.6517,0.6517,0.6517
2.1600,0.00000,-0.00000,0.49910,0.953015,0.000000,0.000000,-0.302923,0.4991,0.000,1.0024,1.0000,0.0005,0.000,0.6517,0.6517,0.6517,0.6517
2.1800,0.00000,-0.00000,0.49907,0.949931,0.000000,0.000000,-0.312461,0.4991,0.000,1.0024,1.0000,0.0005,0.000,0.6517,0.6517,0.6517,0.6517
2.2000,0.00000,-0.00000,0.49904,0.946751,0.000000,0.000000,-0.321967,0.4990,0.000,1.0024,1.0000,0.0005,0.000,0.6517,0.6517,0.6517,0.6517
2.2200,0.00000,-0.00000,0.49902,0.943476,0.000000,0.000000,-0.331441,0.4990,0.000,1.0024,1.0000,0.0005,0.000,0.6517,0.6517,0.6517,0.6517
2.2400,0.00000,-0.00000,0.49899,0.940106,0.000000,0.000000,-0.340882,0.4990,0.000,1.0024,1.0000,0.0005,0.000,0.6517,0.6517,0.6517,0.6517
2.2600,0.00000,-0.00000,0.49896,0.936642,0.000000,0.000000,-0.350288,0.4990,0.000,1.0024,1.0000,0.0004,0.000,0.6517,0.6517,0.6517,0.6517
2.2800,0.00000,-0.00000,0.49893,0.933084,0.000000,0.000000,-0.359660,0.4989,0.000,1.0024,1.0000,0.0004,0.000,0.6517,0.6517,0.6517,0.6517
2.3000,0.00000,-0.00000,0.49890,0.929432,0.000000,0.000000,-0.368995,0.4989,0.000,1.0024,1.0000,0.0004,0.000,0.6517,0.6517,0.6517,0.6517
2.3200,0.00000,-0.00000,0.49888,0.925686,0.000000,0.000000,-0.378293,0.4989,0.000,1.0024,1.0000,0.0004,0.000,0.6517,0.6517,0.6517,0.6517
2.3400,0.00000,-0.00000,0.49885,0.921848,0.000000,0.000000,-0.387552,0.4989,0.000,1.0024,1.0000,0.0004,0.000,0.6517,0.6517,0.6517,0.6517
2.3600,0.00000,-0.00000,0.49882,0.917917,0.000000,0.000000,-0.396773,0.4988,0.000,1.0024,1.0000,0.0004,0.000,0.6517,0.6517,0.6517,0.6517
2.3800,0.00000,-0.00000,0.49879,0.913893,0.000000,0.000000,-0.405954,0.4988,0.000,1.0024,1.0000,0.0004,0.000,0.6517,0.6517,0.6517,0.6517
2.4000,0.00000,-0.00000,0.49876,0.909778,0.000000,0.000000,-0.415095,0.4988,0.000,1.0024,1.0000,0.0003,0.000,0.6517,0.6517,0.6517,0.6517
2.4200,0.00000,-0.00000,0.49874,0.905572,0.000000,0.000000,-0.424193,0.4987,0.000,1.0024,1.0000,0.0003,0.000,0.6517,0.6517,0.6517,0.6517
2.4400,0.00000,-0.00000,0.49871,0.901274,0.000000,0.000000,-0.433249,0.4987,0.000,1.0024,1.0000,0.0003,0.000,0.6517,0.6517,0.6517,0.6517
2.4600,0.00000,-0.00000,0.49868,0.896886,0.000000,0.000000,-0.442261,0.4987,0.000,1.0024,1.0000,0.0003,0.000,0.6517,0.6517,0.6517,0.6517
2.4800,0.00000,-0.00000,0.49865,0.892408,0.000000,0.000000,-0.451229,0.4987,0.020,1.0024,1.0000,0.0003,0.000,0.6517,0.6517,0.6517,0.6517
2.5000,0.00000,-0.00000,0.49862,0.887840,0.000000,0.000000,-0.460151,0.4986,0.000,1.0024,1.0000,0.0003,0.000,0.6517,0.6517,0.6517,0.6517
2.5200,0.00000,-0.00000,0.49859,0.883183,0.000000,0.000000,-0.469028,0.4986,0.000,1.0024,1.0000,0.0003,0.000,0.6517,0.6517,0.6517,0.6517
2.5400,0.00000,-0.00000,0.49857,0.878438,0.000000,0.000000,-0.477857,0.4986,0.000,1.0024,1.0000,0.0002,0.000,0.6517,0.6517,0.6517,0.6517
2.5600,0.00000,-0.00000,0.49854,0.873604,0.000000,0.000000,-0.486638,0.4985,0.000,1.0024,1.0000,0.0002,0.020,0.6517,0.6517,0.6517,0.6517
2.5800,0.00000,-0.00000,0.49851,0.868682,0.000000,0.000000,-0.495370,0.4985,0.000,1.0024,1.0000,0.0002,0.000,0.6517,0.6517,0.6517,0.6517
2.6000,0.00000,-0.00000,0.49848,0.863673,0.000000,0.000000,-0.504052,0.4985,0.000,1.0024,1.0000,0.0002,0.000,0.6517,0.6517,0.6517,0.6517
2.6200,0.00000,-0.00000,0.49845,0.858577,0.000000,0.000000,-0.512684,0.4985,0.000,1.0024,1.0000,0.0002,0.000,0.6517,0.6517,0.6517,0.6517
2.6400,0.00000,-0.00000,0.49843,0.853395,0.000000,0.000000,-0.521264,0.4984,0.000,1.0024,1.0000,0.0002,0.000,0.6517,0.6517,0.6517,0.6517
2.6600,0.00000,-0.00000,0.49840,0.848128,0.000000,0.000000,-0.529792,0.4984,0.000,1.0024,1.0000,0.0001,0.020,0.6517,0.6517,0.6517,0.6517
2.6800,0.00000,-0.00000,0.49837,0.842775,0.000000,0.000000,-0.538266,0.4984,0.000,1.0024,1.0000,0.0001,0.000,0.6517,0.6517,0.6517,0.6517
2.7000,0.00000,-0.00000,0.49834,0.837337,0.000000,0.000000,-0.546687,0.4983,0.000,1.0024,1.0000,0.0001,0.000,0.6517,0.6517,0.6517,0.6517
2.7200,0.00000,-0.00000,0.49831,0.831816,0.000000,0.000000,-0.555052,0.4983,0.000,1.0023,1.0000,0.0001,0.000,0.6517,0.6517,0.6517,0.6517
2.7400,0.00000,-0.00000,0.49828,0.826210,0.000000,0.000000,-0.563362,0.4983,0.000,1.0023,1.0000,0.0001,0.000,0.6517,0.6517,0.6517,0.6517
2.7600,0.00000,-0.00000,0.49826,0.820522,0.000000,0.000000,-0.571615,0.4983,0.000,1.0023,1.0000,0.0001,0.000,0.6517,0.6517,0.6517,0.6517
2.7800,0.00000,-0.00000,0.49823,0.814751,0.000000,0.000000,-0.579810,0.4982,0.000,1.0023,1.0000,0.0001,0.000,0.6517,0.6517,0.6517,0.6517
