accel_bias_x_drift,accel_bias_x_mean,accel_bias_x_std,accel_bias_y_drift,accel_bias_y_mean,accel_bias_y_std,accel_bias_z_drift,accel_bias_z_mean,accel_bias_z_std,accel_x_mean,accel_x_rms,accel_x_std,accel_y_mean,accel_y_rms,accel_y_std,accel_z_mean,accel_z_rms,accel_z_std,accel_z_std_high,accel_z_std_idle,accel_z_std_low,accel_z_std_mid,category,gyro_bias_x_drift,gyro_bias_x_mean,gyro_bias_x_std,gyro_bias_y_drift,gyro_bias_y_mean,gyro_bias_y_std,gyro_bias_z_drift,gyro_bias_z_mean,gyro_bias_z_std,gyro_x_mean,gyro_x_rms,gyro_x_std,gyro_x_std_high,gyro_x_std_idle,gyro_x_std_low,gyro_x_std_mid,gyro_y_mean,gyro_y_rms,gyro_y_std,gyro_z_mean,gyro_z_rms,gyro_z_std,name,samples,tof_max,tof_mean,tof_min,tof_std
0.0,-0.09729999999999996,4.163336342344337e-17,0.0,0.17419999999999997,2.7755575615628914e-17,0.0,-0.24270000000000003,2.7755575615628914e-17,-0.09731665990019736,0.007892148712450881,0.007892148712450881,0.15037335372678248,0.010987622412469025,0.010987622412469025,-10.018591206097009,0.010594771494861955,0.010594771494861955,,0.010594771494861955,,,static,0.0,-0.0033643824485373778,4.788679540405333e-05,0.0,0.0023999999999999994,4.336808689942018e-19,0.0,0.0055000000000000005,8.673617379884035e-19,-0.0033851072372471074,0.0015215979303305656,0.0015215979303305656,,0.0015215979303305656,,,0.002831950409072178,0.0013956851791751647,0.0013956851791751647,0.005680930060590542,0.0014247231343354546,0.0014247231343354546,hover11.csv,3692,0.032999999821186066,0.031559047805809315,0.03100000135600567,0.0007017479343146457
0.0,-0.16040000000000004,5.551115123125783e-17,0.0,-0.0348,0.0,0.05729999999999999,-0.16994740592930443,0.028670183571020202,-0.003946005908332706,3.1699645287307603,3.1699645287307603,0.08855859478585823,2.800210163287248,2.800210163287248,-6.105439646753611,8.027212346058336,8.027212346058336,4.270873573694029,9.715436614903437,4.358817780835803,2.4883066743122884,hover,-0.0023000000000000004,-0.002512998859749145,0.0014061040626918147,-0.0015,0.0022358608893956675,0.0010297330996860044,0.0,0.005499999999999999,8.673617379884035e-19,0.11903731111947428,2.3057336009479763,2.3057336009479763,2.701352631293729,0.0019525882919243147,2.4378581937957926,0.6465957568690668,-0.3423113244803627,2.9597541896000417,2.9597541896000417,0.0758750088643367,0.81393313931638,0.81393313931638,hover12.csv,3508,2.4103000164031982,0.5134207231365356,0.03700000047683716,0.8032314496384376
0.16599999999999998,-0.14731592718998862,0.06662359055167301,0.1872,0.006871672354948805,0.022807673015846405,-1.5385,-0.20500620022753127,0.15967394294618847,-0.031113970604120193,2.019806082036635,2.019806082036635,0.04791124223359333,1.3240409604153922,1.3240409604153922,-9.641504384178893,2.1493346518039536,2.1493346518039536,1.4268677724636283,0.09806962627089978,0.183901652568537,0.9169367141896099,hover,-0.0021,-0.0012627701934015926,0.0024989779832645196,0.031599999999999996,-0.02124084186575654,0.0036714164773238574,0.0,0.0055000000000000005,8.673617379884035e-19,-0.14988026676704286,2.3345949037756766,2.3345949037756766,4.124010579195278,0.01998000746579781,0.027374007838550367,4.035472455837719,-0.07048304470391765,1.8516348663312452,1.8516348663312452,0.1762153014453394,0.7203182372471804,0.7203182372471804,hover13.csv,3516,0.9260000586509705,0.20063960011010148,0.03500000014901161,0.274650791763614
0.018500000000000003,0.05270561010406178,0.008042733872303424,-0.011000000000000003,0.03402035078885532,0.0073256544808514065,0.0002999999999999947,-0.11154235901309165,0.03250931395483521,0.2540967653733196,1.5190730600683808,1.5190730600683808,-0.10415616859853478,1.719276925830374,1.719276925830374,-9.674694190210106,1.1973951615512237,1.1973951615512237,,1.1973951615512237,,,static,0.0175,0.0012688276267203754,0.020651365193589708,0.0422,0.017926007049345417,0.02402071189063194,0.0193,0.00829075612621685,0.016549134976737906,-0.0021213343141721496,1.229699614498941,1.229699614498941,,1.229699614498941,,,0.03666934892707464,1.2356419731992256,1.2356419731992256,-0.027537194907437303,1.0447178739518157,1.0447178739518157,hover_test_static.csv,23832,0.4710000157356262,0.07326758425597123,0.03100000135600567,0.06782143758008609
0.0681,0.046208455756747514,0.03223346820842322,0.0273,0.007369473864024596,0.010976737484228177,-0.1267,-0.08941718910146908,0.05616880365687337,-0.0006744074482181363,1.5188488310816808,1.5188488310816808,-0.04361010550190825,1.3104115894789041,1.3104115894789041,-9.728012645961401,0.8831405223138689,0.8831405223138689,,0.8831405223138689,,,static,-0.0024999999999999996,-0.005635881448582166,0.001181484975705483,0.0041,0.0036777801503245643,0.0017234501835558657,-0.009000000000000001,-0.0003587760505637166,0.0033344386681576866,-0.0029119861710872196,0.8139789680766357,0.8139789680766357,,0.8139789680766357,,,-0.01628186812273134,0.8945407679136718,0.8945407679136718,0.037115923371028814,0.8526820622196142,0.8526820622196142,hover_test_static02.csv,23416,0.25699999928474426,0.07705126593762379,0.03100000135600567,0.05774859429957273
-0.1072,0.028033468422830127,0.057186264163194715,0.06739999999999999,-0.034808932792975346,0.029949011486183244,-0.0020999999999999908,-0.11021657379263766,0.04394086460939425,0.16551141321620477,1.8871951470641346,1.8871951470641346,-0.30373362558490513,1.6960276955481726,1.6960276955481726,-9.628686163046519,1.4402822163373332,1.4402822163373332,,1.4402822163373332,,,static,0.0062,-0.00943679500168862,0.004436118438826698,0.0093,0.010262694191151637,0.00464166065428608,-0.0034000000000000002,-0.009163251435325903,0.004504866033825057,0.010319828324334153,0.9615363305884084,0.9615363305884084,,0.9615363305884084,,,-0.0011416365206627355,1.4389216809851502,1.4389216809851502,0.0017286929249109883,1.0667260751626209,1.0667260751626209,hover_test_static03.csv,23688,0.4440000355243683,0.06588648566369147,0.03100000135600567,0.06079175345338453
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026749818790238352,0.008612946149445718,0.008612946149445718,-0.03337455181439873,0.009989669062748625,0.009989669062748625,-9.946534880876541,0.01026012781568518,0.01026012781568518,,0.01026012781568518,,,static,-0.00039999999999999975,-0.002425725,0.0001281238634095928,-0.0002999999999999999,0.0021068000000000007,9.671483857195856e-05,-0.0008000000000000004,0.007699375,0.00027522192749670224,-0.004077917477345181,0.0015556191725284837,0.0015556191725284837,,0.0015556191725284837,,,0.0012808662190092264,0.0014541659976183639,0.0014541659976183639,0.005267932907299837,0.0014613025103635037,0.0014613025103635037,log_wifi_test.csv,4000,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025711061152949695,0.00874639694203446,0.00874639694203446,-0.03138706956960959,0.010206533644662875,0.010206533644662875,-9.944760804414749,0.010267056284192251,0.010267056284192251,,0.010267056284192251,,,static,-0.0017,-0.001196,0.000505666886398546,-0.00010000000000000026,0.0029094749999999995,2.928693181267038e-05,-0.0031000000000000003,0.010309925,0.0009621481145722836,-0.004252115191113262,0.0015280511012059426,0.0015280511012059426,,0.0015280511012059426,,,0.0023128582312410798,0.0014566620561922959,0.0014566620561922959,0.005229573419739609,0.0014542482289297163,0.0014542482289297163,log_wifi_test02.csv,4000,,,,
0.0,0.003299999999999999,8.673617379884035e-19,0.0,-0.004000000000000002,1.734723475976807e-18,0.0,2.2426999999999992,8.881784197001252e-16,0.03228171817483092,0.008600463157188641,0.008600463157188641,-0.035798057566214465,0.010112990928022618,0.010112990928022618,-9.945895820057268,0.010480898206084383,0.010480898206084383,,0.010480898206084383,,,static,-0.0054,0.0021567268041237115,0.0014581537923226905,-0.0030999999999999995,0.006094458762886598,0.0008359374735228147,-0.007999999999999998,0.01205827319587629,0.002175775393862903,-0.004330977647931053,0.0015134142149866826,0.0015134142149866826,,0.0015134142149866826,,,0.002201466741983087,0.0014889473369362558,0.0014889473369362558,0.005270915410493995,0.0014665873976792664,0.0014665873976792664,log_wifi_test03.csv,3880,,,,
0.0,0.026500000000000013,1.3877787807814457e-17,0.0,-0.0355,0.0,0.0,-0.1352,0.0,0.02911865271572434,0.008893017157952397,0.008893017157952397,-0.03414543066063087,0.010503348928422319,0.010503348928422319,-9.947820643882254,0.0106509222664021,0.0106509222664021,,0.0106509222664021,,,static,-0.0008000000000000001,-0.0018655655655655658,0.00023580937537971732,-0.0002000000000000001,0.0024821071071071065,5.422734683427018e-05,-0.001899999999999999,0.009757232232232231,0.0006619769335729946,-0.004185493176773743,0.0015024011016878502,0.0015024011016878502,,0.0015024011016878502,,,0.0021679327618949196,0.0015058832010069387,0.0015058832010069387,0.0053152307181689494,0.001490302212069454,0.001490302212069454,log_wifi_test04.csv,3996,,,,
